protocol,run_id_unique,source_run_id,test_date_iso,campaign_folder,raw_xml,control_csv,raw_xml_size_bytes
TMW,10_2025_TMW__B7F5SL10_11,B7F5SL10_11,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL10_11.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL10_11.csv,22342914
TMW,10_2025_TMW__B7F5SL1_2,B7F5SL1_2,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL1_2.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL1_2.csv,22638055
TMW,10_2025_TMW__B7F5SL2_3,B7F5SL2_3,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL2_3.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL2_3.csv,22541411
TMW,10_2025_TMW__B7F5SL3_4,B7F5SL3_4,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL3_4.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL3_4.csv,22449140
TMW,10_2025_TMW__B7F5SL4_5,B7F5SL4_5,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL4_5.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL4_5.csv,22403675
TMW,10_2025_TMW__B7F5SL5_6,B7F5SL5_6,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL5_6.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL5_6.csv,22392834
TMW,10_2025_TMW__B7F5SL6_7,B7F5SL6_7,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL6_7.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL6_7.csv,22339299
TMW,10_2025_TMW__B7F5SL7_8,B7F5SL7_8,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL7_8.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL7_8.csv,22857635
TMW,10_2025_TMW__B7F5SL8_9,B7F5SL8_9,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL8_9.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL8_9.csv,22853950
TMW,10_2025_TMW__B7F5SL9_10,B7F5SL9_10,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F5SL9_10.xml,data/control_csv/tmw_raw/10_2025_TMW/B7F5SL9_10.csv,22853543
TMW,10_2025_TMW__B7FT7SL1_4,B7FT7SL1_4,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL1_4.xml,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL1_4.csv,22845543
TMW,10_2025_TMW__B7FT7SL1_5,B7FT7SL1_5,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL1_5.xml,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL1_5.csv,22658379
TMW,10_2025_TMW__B7FT7SL2_6,B7FT7SL2_6,,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7FT7SL2_6.xml,data/control_csv/tmw_raw/10_2025_TMW/B7FT7SL2_6.csv,22449112
